time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
40.0,148477.0,14.0387,0.4735,0.9597,0.318,0.3073,0.5089,0.1679
40.0,148406.0,14.0722,0.2222,0.0664,-0.3959,6.5719,3.3987,-6.9616
40.0,145612.0,14.5419,0.58,-1.0502,2.2662,8.3503,-15.0147,34.1699
40.0,59431.0,4.2438,0.9754,-2.2701,1.2247,0.7643,-1.1682,0.5915
40.0,143003.0,13.4585,-0.6382,0.0365,-1.5224,-12.4929,-0.5213,-29.2184
40.0,142010.0,14.2812,0.4743,0.3882,0.1471,12.4982,8.1634,-0.1897
40.0,140792.0,14.1112,-0.7923,0.3492,1.2711,-16.7129,3.9301,29.1375
40.0,140375.0,14.5912,0.3153,0.2013,-0.5648,1.1762,1.2994,1.0938
40.0,139847.0,14.9232,-0.741,-0.8412,0.4947,-13.7127,-22.8606,11.541
40.0,137518.0,14.2606,0.483,0.5185,1.2331,6.9512,8.9152,21.8605
40.0,135328.0,5.6814,1.6134,-0.0197,0.0547,7.8542,-1.7325,1.6016
40.0,122195.0,4.2406,-0.9092,-0.9963,0.2937,0.4013,-1.4634,-0.2207
40.0,172740.0,15.0589,0.1759,-0.5889,1.0067,6.0601,-13.3087,24.2629
40.0,42818.0,9.3118,0.6192,-0.0299,-0.2731,8.5641,0.248,-4.4356
40.0,106145.0,4.9186,-1.1907,-0.6937,-0.4582,-3.4154,-0.7092,0.4397
40.0,106075.0,13.5899,-0.0662,0.1659,-0.1693,0.5176,4.3789,-6.1617
40.0,80174.0,14.4268,-0.4969,0.3128,-0.2839,-14.2644,6.0094,-7.144
40.0,105055.0,14.7946,-0.9975,-0.2995,-0.3891,-24.6533,-9.4014,-8.0544
40.0,104983.0,10.2625,-0.0625,0.3568,-0.3122,2.4418,1.1881,-3.7631
40.0,134326.0,6.7888,-0.05,-0.7851,0.3705,-1.5446,-6.1734,3.6064
40.0,133009.0,5.1431,-0.9053,-0.9002,-0.5078,-3.993,-4.0553,-1.6047
40.0,14205.0,13.9834,-0.4779,-0.5928,0.2066,-0.0389,-0.1634,0.1424
40.0,117899.0,4.2905,-0.6009,-0.1977,0.0183,-0.1702,0.1011,-0.1985
40.0,108659.0,14.4991,0.1438,0.1754,0.0382,-0.03,-0.0268,-0.1732
40.0,102728.0,4.7954,0.6635,0.5409,0.2407,2.6517,-1.3528,1.2173
40.0,165870.0,14.561,-0.0857,-0.0539,0.3743,0.6454,0.6324,-1.6572
40.0,69563.0,14.0088,-0.2415,0.5858,-0.1459,-0.0376,0.1949,-0.1634
40.0,8420.0,14.4656,-0.0202,-0.0708,0.2428,-4.3788,3.2946,3.5634
40.0,103571.0,4.604,0.1429,0.7482,0.6624,1.6119,1.0329,0.2682
40.0,32622.0,13.4259,-0.2378,0.3257,-0.8384,-5.8104,6.2291,-17.308
40.0,113029.0,4.2814,0.2609,1.7261,-1.6703,-0.2782,1.2974,-1.8063
40.0,70895.0,9.3343,0.243,0.3686,-0.0441,3.9975,6.5418,-0.8092
40.0,182528.0,9.5977,-0.0885,-1.7592,-0.2093,0.0865,-21.6022,-2.7778
40.0,121382.0,5.7173,-0.2553,0.283,-0.8909,-0.9665,3.6412,-2.8428
40.0,165361.0,9.1066,0.0985,-0.1144,0.8211,1.3375,-2.1122,10.4224
40.0,148154.0,9.0111,-0.442,-0.2879,0.3524,-0.3514,0.0941,-0.1347
40.0,129042.0,6.4324,-0.1259,0.0476,0.1125,-1.2176,0.1217,-0.2757
40.0,76537.0,4.2003,0.0579,0.6274,0.0778,-0.1462,0.5293,-0.3413
40.0,91707.0,13.428,0.8397,-0.1406,1.1373,16.2486,-0.6579,23.0773
40.0,118019.0,5.6893,0.1346,0.7081,0.4563,2.7,4.9107,0.7986
